FID	IID	Ala	Arg	Asp	Glu	Gly	His	Ile	Leu	Lys	Phe	Pro	Ser	Thr	Tyr	Val
Luning 1	Luning 1	18.6	26.5	55.6	84	20	9.8	5.9	23.8	21.4	16.6	20.5	23.4	14	12.2	8.7
Chadou	Chadou	18.1	27.7	54.9	82.5	19.5	9.9	6.3	25.1	20.8	16.7	20.4	23.1	14.3	12.1	8.7
Wandou 15	Wandou 15	20.2	34.9	52.4	80.8	17.9	11.4	19.2	27.8	27.3	22.5	29.3	20.8	18.1	14.3	21.6
He 84-5	He 84-5	19.3	28.3	53.1	74.8	19.8	10	6.4	24.1	20.5	16.8	27.6	21.5	13.3	11.1	9.3
Yudou 25	Yudou 25	21.3	38.9	62	84	21.2	11.1	7.3	26.4	22.9	19.8	30.4	24.5	15	13.3	10.3
Nanguanxiaopiqing	Nanguanxiaopiqing	24.8	32.7	61.7	88.9	22.9	11.6	9.4	30	23.7	20.3	31.9	25.6	15.9	14.3	15.2
Lu 93748-1	Lu 93748-1	22.7	31.5	63.7	91	22.3	11.4	7.9	27.7	25.8	19.7	37.1	26.9	16.4	13.4	10.9
Dabaipi	Dabaipi	22.6	38.2	62.2	89.1	21.8	11.4	7.4	26.7	23.9	20.2	33.5	25.4	15.8	13.5	10.6
Sijiaoqihuangdou	Sijiaoqihuangdou	20.6	27.7	55.6	77.4	20.3	10.4	6.7	23.9	22.2	17.5	26.3	22.7	14.3	12.6	10
Jidou 12-2.3	Jidou 12-2.3	19.8	30.7	51.6	76.8	18	9.2	8.1	24.9	20.7	17.4	30.8	21.4	13.2	11.7	12.3
Pingdinghei	Pingdinghei	19.8	25.5	55.2	73.1	20.6	10.1	6.2	23.4	21	17	22.6	22.7	13.1	11.8	9.2
Zhonghuang 18	Zhonghuang 18	19.8	27	56.4	78.2	21	10.3	6	23.7	25.3	17	24.7	23.2	13	12.5	9.6
Xiaoyuanhuangdou	Xiaoyuanhuangdou	20.2	26.4	57.3	76.8	20.2	10.3	6.9	25.3	22.4	17.6	26.1	22.7	13.6	13.1	9.6
Bendidahuangdou	Bendidahuangdou	21.6	37.8	66.6	85.6	21.4	11.2	7.3	26.8	23.7	20.2	28	25	14.9	13.5	10.3
Lu 99-1	Lu 99-1	15.3	24.8	38.7	62.4	14.7	9.2	15.8	25.9	22.4	17.3	20.4	17	13.6	11.6	16.9
Yangtianxiaohuangdou	Yangtianxiaohuangdou	20.3	31.6	59.9	81.4	20.2	10.2	6.8	25.6	22.6	18.3	24.8	24.2	13.8	12.9	9.7
SS74185	SS74185	17.8	27.8	44.2	65.3	17.1	10.5	18	30.1	25	19.8	21	18.2	16.4	12.5	16.4
95-5117	95-5117	19.1	25.7	54.9	75.8	19.1	9.8	6.6	24.5	21.8	17.1	23.1	23.5	13.7	12.7	9.2
Zhonghuang 28	Zhonghuang 28	20	28.8	57.8	83.2	20.2	10.5	7.2	25	24	18.1	29.9	25.4	15.3	13.4	10
Jidou 12-3l	Jidou 12-3l	19.8	30.6	47.8	73.4	17.2	10.5	18.2	26	26.5	21.4	26.7	19.3	16.9	12.7	20.5
Qihuang 30	Qihuang 30	19.1	30	48.2	75.5	16.9	10.4	18	25.7	25.7	21	28.1	19.8	16.9	13.4	19.8
Zheng 92116	Zheng 92116	19.4	37.1	51.1	75	17	11.1	18.2	26.6	25.9	21.6	28.2	20	17.2	13.1	20.1
Maodou	Maodou	19.5	32	48.7	74.9	17.2	11	17.9	25.8	25.6	20.7	27.2	19.9	17.2	13.5	20.5
Er-hej-jan	Er-hej-jan	18.5	30.2	52.7	78	16.7	10.7	18.5	29.9	25.1	21	24.2	21	17.6	13.7	19.9
Jindou 31	Jindou 31	18.2	28.7	51.1	74.9	15.8	10.5	16.9	26.5	24.5	19.4	24.2	20.4	17.5	13	18.4
Handou 5	Handou 5	18.4	31.4	53.5	78.1	16.4	10.8	18	28.1	25.2	20.5	22.7	20.8	17.9	13.4	19.4
Kexin 3	Kexin 3	18.7	31.5	53.4	79.3	16.9	10.9	18.3	27.6	25.7	20.6	23.3	20.8	17.9	13.1	19.4
Zaofeng 1	Zaofeng 1	18.8	29.8	52.3	77.6	16.4	10.6	17.6	27.2	25.4	20.3	21.4	21.3	18.1	13.3	18.5
Dahuangdou	Dahuangdou	18	31.3	50.7	74.1	16	10.5	16.9	26.3	24.5	19.5	21.4	20.4	17.4	12.8	18.3
Puhai 10	Puhai 10	18.9	31.1	52.9	76.6	16.4	10.5	17.8	27.2	25.5	21.3	21.7	20.5	18.1	13.4	18.8
Zhongye 2	Zhongye 2	19	34.2	51.8	78	16.8	10.9	17.5	26.7	25.5	20.6	22.3	20	16.7	13.2	19.1
Zhonghuang 22	Zhonghuang 22	17.6	31.7	49.3	74.3	17	10.7	17.2	26.3	25.3	20.8	25.9	20.1	17.3	12.9	18.7
Kexin 4	Kexin 4	18.8	34.3	50.6	76.2	16.8	10.8	18.3	28.6	24.9	20.8	26.3	19.6	16.9	13.5	20
Qihuang 1	Qihuang 1	15.6	29.8	45.3	70.4	15	10	16	25.2	23.1	19.3	22.1	19.1	15.8	12	16.5
